"clause_number","sequence","section","clause_key","heading","opening_words","always_prints","prints_when_plain_english","prints_when_raw_gate","fields_it_asks_for","depends_on","dependency_class","protective_note","keep_cut"
"3.6","15","3. The Horse","HORSE.BEHAVIOR","Behavior","The Lessor warrants that the Horse has no history of dangerous or vicious behavior as of the Effective Date of …","yes","always","","“Any exceptions to note?”","PROTECTIVE. Warranty of no dangerous-behaviour history. A disclosure representation; cutting it removes the Lessee’s contractual remedy for an undisclosed dangerous horse. | Cut → the question “Any exceptions to note?” goes with it, and 1 clause (§3.7) stops printing for good. | §3.19 points at this clause in prose — same.","PROTECTIVE + DEPENDED-UPON","Warranty of no dangerous-behaviour history. A disclosure representation; cutting it removes the Lessee’s contractual remedy for an undisclosed dangerous horse.",""
"3.7","16","3. The Horse","HORSE.BEHAVIOR_EXC","","The Lessor notes the following known exceptions to the behavior of the Horse: …","no","“Any exceptions to note?” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.BEHAVIOR_HAS_EXCEPTIONS""}","“Known behavior exceptions”","Turned on by “Any exceptions to note?”, asked in §3.6 — cut that clause and this one stops printing for good.","standalone","",""
"3.8","17","3. The Horse","HORSE.CONDITION","Physical Condition","The Lessor warrants that the Horse is sound and in good physical condition as of the Effective Date of this …","yes","always","","“Any exceptions to note?”","PROTECTIVE. Warranty of soundness. Same shape as §3.6. | Cut → the question “Any exceptions to note?” goes with it, and 1 clause (§3.9) stops printing for good. | §3.19 points at this clause in prose — same.","PROTECTIVE + DEPENDED-UPON","Warranty of soundness. Same shape as §3.6.",""
"3.9","18","3. The Horse","HORSE.CONDITION_EXC","","The Lessor notes the following known exceptions to the physical condition of the Horse: …","no","“Any exceptions to note?” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.CONDITION_HAS_EXCEPTIONS""}","“Known condition exceptions”","Turned on by “Any exceptions to note?”, asked in §3.8 — cut that clause and this one stops printing for good.","standalone","",""
"3.10","19","3. The Horse","HORSE.INJURY_HISTORY_PENDING","Serious Injury History","[This section is completed by the Lessor's selection above. The applicable statement replaces this placeholder once the selection is made; …","no","“Has anyone been seriously injured by the Horse's direct actions?” is left blank","{""equals"":[""""],""field_key"":""TXN.INJURY_HISTORY""}","— nothing","Turned on by “Has anyone been seriously injured by the Horse's direct actions?”, asked in §3.11 — cut that clause and this one prints in every lease from then on.","standalone","",""
"3.11","20","3. The Horse","HORSE.INJURY_HISTORY_NONE","No Serious Injury History","Lessor represents that, to Lessor's knowledge, no person has suffered serious injury proximately caused by the direct actions of the …","no","“Has anyone been seriously injured by the Horse's direct actions?” is “No”","{""equals"":[""NO""],""field_key"":""TXN.INJURY_HISTORY""}","“Has anyone been seriously injured by the Horse's direct actions?” [required]","PROTECTIVE. Lessor’s representation that no person has been seriously injured by the Horse. Paired with §3.12 this is the injury-disclosure record. | Cut → the question “Has anyone been seriously injured by the Horse's direct actions?” goes with it, and 1 clause (§3.12) and 1 question (“Injury history details”) stop printing for good. | Cut → the question “Has anyone been seriously injured by the Horse's direct actions?” goes with it, and 1 clause (§3.10) prints in every lease from then on. | §3.19 points at this clause in prose — same. | Carries required field “Has anyone been seriously injured by the Horse's direct actions?” — cutting the clause removes it from the signing checks.","PROTECTIVE + DEPENDED-UPON","Lessor’s representation that no person has been seriously injured by the Horse. Paired with §3.12 this is the injury-disclosure record.",""
"3.12","21","3. The Horse","HORSE.INJURY_HISTORY_DISCLOSED","Serious Injury History Disclosed","Lessor discloses that one or more persons have suffered serious injury involving the direct actions of the Horse, as follows, …","no","“Has anyone been seriously injured by the Horse's direct actions?” is “Yes”","{""equals"":[""YES""],""field_key"":""TXN.INJURY_HISTORY""}","“Injury history details” [required] — only if “Has anyone been seriously injured by the Horse's direct actions?” is “Yes”","PROTECTIVE. The affirmative disclosure branch, with the Lessee’s acknowledgement that they proceed knowing it. Cutting it removes the only place a known injury history is recorded and acknowledged. | Carries required field “Injury history details” — cutting the clause removes it from the signing checks. | Turned on by “Has anyone been seriously injured by the Horse's direct actions?”, asked in §3.11 — cut that clause and this one stops printing for good.","PROTECTIVE + DEPENDED-UPON","The affirmative disclosure branch, with the Lessee’s acknowledgement that they proceed knowing it. Cutting it removes the only place a known injury history is recorded and acknowledged.",""
"3.13","22","3. The Horse","HORSE.VET_CHECK","Pre-Lease Veterinary Examination","Pre-lease veterinary examination of the Horse: …","yes","always","","“Pre-lease veterinary examination”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"3.14","23","3. The Horse","HORSE.TRAINER_EVAL","Pre-Lease Trainer Evaluation","Pre-lease trainer evaluation of the Horse: …","yes","always","","“Professional suitability evaluation”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"3.15","24","3. The Horse","LOCATION.MAIN","Location","Location of the Horse: …","yes","always","","“Facility”","§3.18 points at this clause in prose — “the facility where the Horse is kept” — §3.15 is the only clause that says where that is. | §13.27 points at this clause in prose — “any facility where the Horse is kept during the term of this Agreement”. | §11.24 points at this clause in prose — “the location at which the Horse is kept under this Agreement”.","DEPENDED-UPON","",""
"3.16","25","3. The Horse","LOCATION.MOVE_CHOICE","","(no printed text — input only)","yes","always","","“Horse will move to a new location for the Lessee”","Cut → the question “Horse will move to a new location for the Lessee” goes with it, and 1 clause (§3.17) stops printing for good.","DEPENDED-UPON","",""
"3.17","26","3. The Horse","LOCATION.NEW","","Location during lease term: …","no","“Horse will move to a new location for the Lessee” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.HORSE_MOVES""}","“Location during lease term”","Turned on by “Horse will move to a new location for the Lessee”, asked in §3.16 — cut that clause and this one stops printing for good.","standalone","",""
"3.18","27","3. The Horse","LOCATION.INSPECTION","","Lessor may inspect the Horse at any time, subject to the reasonable access rules of the facility where the Horse …","yes","always","","— nothing","PROTECTIVE. Lessor’s inspection and repossession right — the practical remedy when the Horse is not being cared for. §18.1 refers to it. | §18.1 points at this clause in prose — “including recovery of possession of the Horse” — the repossession right §3.18 grants. | This clause points at §3.15 in prose — “the facility where the Horse is kept” — §3.15 is the only clause that says where that is. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE + DEPENDED-UPON","Lessor’s inspection and repossession right — the practical remedy when the Horse is not being cared for. §18.1 refers to it.",""
"3.19","28","3. The Horse","HORSE.WARRANTY","Disclaimer of Warranties","Except for the representations expressly stated in this Agreement, LESSOR MAKES NO WARRANTIES, EXPRESS OR IMPLIED, REGARDING THE HORSE, INCLUDING …","yes","always","","— nothing","PROTECTIVE. Disclaimer of implied warranties of merchantability and fitness. Cutting it leaves the implied warranties in place. | This clause points at §3.2 in prose — “Except for the representations expressly stated in this Agreement”. | This clause points at §3.6 in prose — same. | This clause points at §3.8 in prose — same. | This clause points at §3.11 in prose — same.","PROTECTIVE","Disclaimer of implied warranties of merchantability and fitness. Cutting it leaves the implied warranties in place.",""
"4.1","29","4. Purpose and Lease Grant","PURPOSE.RECREATION_DEFAULT","Purpose of Agreement","[Pending — select the purpose of this lease. This placeholder is replaced by the applicable purpose language and blocks signing.]","no","“Purpose of the lease” is left blank","{""equals"":[""""],""field_key"":""TXN.LEASE_PURPOSE""}","— nothing","Turned on by “Purpose of the lease”, asked in §4.2 — cut that clause and this one prints in every lease from then on.","standalone","",""
"4.2","30","4. Purpose and Lease Grant","PURPOSE.RECREATION","Purpose of Agreement","For … purposes, Lessee wishes to ride and/or handle Lessor's horse, and Lessor agrees to allow Lessee to ride and/or …","no","“Purpose of the lease” is “recreational” or “instructional” or “competition” or “commercial program”","{""equals"":[""RECREATIONAL"",""INSTRUCTIONAL"",""COMPETITION"",""COMMERCIAL""],""field_key"":""TXN.LEASE_PURPOSE""}","“Purpose of the lease” [required]","Cut → the question “Purpose of the lease” goes with it, and 1 clause (§4.1) prints in every lease from then on. | Carries required field “Purpose of the lease” — cutting the clause removes it from the signing checks.","DEPENDED-UPON","",""
"4.3","31","4. Purpose and Lease Grant","PURPOSE.GRANT","Lease Grant","Subject to the terms and conditions of this Agreement, Lessor agrees to lease to Lessee and Lessee agrees to lease …","yes","always","","— nothing","PROTECTIVE. The operative granting language — “Lessor agrees to lease to Lessee and Lessee agrees to lease from Lessor”. It is the sentence that actually creates the lease; without it the document describes a transaction it never grants. | This clause points at §3.1 in prose — “the horse described below” — the Horse is in fact described above, in §3.1.","PROTECTIVE","The operative granting language — “Lessor agrees to lease to Lessee and Lessee agrees to lease from Lessor”. It is the sentence that actually creates the lease; without it the document describes a transaction it never grants.",""
"4.4","32","4. Purpose and Lease Grant","PURPOSE.LEASE_TYPE","Lease Type","Lease type: …","yes","always","","“Lease type” [required]","Cut → the question “Lease type” goes with it, and 3 clauses (§5.1, §5.2, §5.3) stop printing for good. | Carries required field “Lease type” — cutting the clause removes it from the signing checks.","DEPENDED-UPON","",""
"5.1","33","5. Schedule for Lessee's Usage","SCHEDULE.MAIN","Schedule for Lessee's Usage","Reserved days of use: …","no","“Lease type” is “Partial lease (shared or limited access)”","{""equals"":[""PARTIAL""],""field_key"":""TXN.LEASE_TYPE""}","“Reserved days of use”","§12.1 points at this clause in prose — “on their allowed days” — the reserved-days grid. | Turned on by “Lease type”, asked in §4.4 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"5.2","34","5. Schedule for Lessee's Usage","SCHEDULE.OTHER","","Additional or custom schedule terms: …","no","“Lease type” is “Partial lease (shared or limited access)”","{""equals"":[""PARTIAL""],""field_key"":""TXN.LEASE_TYPE""}","“Additional schedule terms”","Turned on by “Lease type”, asked in §4.4 — cut that clause and this one stops printing for good.","standalone","",""
"5.3","35","5. Schedule for Lessee's Usage","SCHEDULE.CHANGES","Schedule Changes","Any changes to the agreed upon schedule must be made and accepted in writing.","no","“Lease type” is “Partial lease (shared or limited access)”","{""equals"":[""PARTIAL""],""field_key"":""TXN.LEASE_TYPE""}","— nothing","Requires something in writing — what that means is set by §15.1, not here. | Turned on by “Lease type”, asked in §4.4 — cut that clause and this one stops printing for good.","standalone","",""
"6.1","36","6. Lease Fee","LEASE_FEE.CHOICE","","… If no monetary lease fee is payable under this Agreement, the parties agree that Lessee's undertakings of care, exercise, …","yes","always","","“Lease fee”","Defines “Lease Fee”, used in §14.4, §14.5. | §9.2 points at this clause in prose — “any per-use or lease fees for usage that occurred remain due”. | §9.3 points at this clause in prose — same. | §14.4 points at this clause in prose — “a prorated refund of Lease Fee paid”. | §14.5 points at this clause in prose — same.","DEPENDED-UPON","",""
"7.1","37","7. Payment Terms","PAYMENT_TERMS.OFFSET","Right of Offset","A party to whom money is owed under this Agreement may offset the amount owed against any amount that party …","yes","always","","— nothing","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"7.2","38","7. Payment Terms","PAYMENT_TERMS.RECEIPTS","Receipts","A party seeking reimbursement for an expense paid on behalf of the other party shall provide a receipt or other …","yes","always","","— nothing","§13.20 points at this clause in prose — the reimbursement it describes is conditioned on a receipt by §7.2.","DEPENDED-UPON","",""
"7.3","39","7. Payment Terms","PAYMENT_TERMS.LATE","Late Payments","All payments are due on their due date or within 5 business days of notification of the amount owed. Payments …","yes","always","","— nothing","PROTECTIVE. Defines when a payment is late, and makes more than a month past due grounds for termination for cause. Cutting it leaves “late” undefined and removes the payment-default remedy. | This clause points at §14.3 in prose — “grounds for termination for cause under the Termination for Cause provisions”. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","Defines when a payment is late, and makes more than a month past due grounds for termination for cause. Cutting it leaves “late” undefined and removes the payment-default remedy.",""
"8.1","40","8. Payment Method","PAYMENT_METHOD.MAIN","Payments by the Lessee","The Lessee may pay amounts owed under this Agreement by the following method(s): …","yes","always","","“Accepted payment methods”","Cut → the question “Accepted payment methods” goes with it, and 1 clause (§8.2) stops printing for good. | §13.20 points at this clause in prose — “in accordance with the acceptable payment methods stated in this Agreement”.","DEPENDED-UPON","",""
"8.2","41","8. Payment Method","PAYMENT_METHOD.CARD","","Credit card payments are processed as follows: …","no","“Accepted payment methods” includes “Credit Card”","{""contains"":[""CREDIT_CARD""],""field_key"":""TXN.PAYMENT_METHODS""}","“Card processor & instructions”","Turned on by “Accepted payment methods”, asked in §8.1 — cut that clause and this one stops printing for good.","standalone","",""
"8.3","42","8. Payment Method","PAYMENT_METHOD.MAIN_LESSOR","Payments by the Lessor","The Lessor may pay amounts owed under this Agreement by the following method(s): …","yes","always","","“Accepted payment methods”","Cut → the question “Accepted payment methods” goes with it, and 1 clause (§8.4) stops printing for good.","DEPENDED-UPON","",""
"8.4","43","8. Payment Method","PAYMENT_METHOD.CARD_LESSOR","","Credit card payments are processed as follows: …","no","“Accepted payment methods” includes “Credit Card”","{""contains"":[""CREDIT_CARD""],""field_key"":""TXN.LESSOR_PAYMENT_METHODS""}","“Card processor & instructions”","Turned on by “Accepted payment methods”, asked in §8.3 — cut that clause and this one stops printing for good.","standalone","",""
"9.1","44","9. Evaluation Period","EVALUATION.CHOICE","","(no printed text — input only)","yes","always","","“Evaluation period” | “Evaluation period” — only if “Evaluation period” is “Requested by Lessee” or “Required by Lessor”","Cut → the question “Evaluation period” goes with it, and 4 clauses (§9.2, §9.3, §9.4, §9.5) stop printing for good. | Cut → the question “Evaluation period” goes with it, and 2 clauses (§9.2, §9.3) and 2 questions (“Length”, “Length”) stop printing for good.","DEPENDED-UPON","",""
"9.2","45","9. Evaluation Period","EVALUATION.DATES_INCLUDED","Evaluation Period Details","Lessee shall have an evaluation period of … … beginning on the date this Agreement is fully signed by both …","no","“Evaluation period” is “Requested by Lessee” or “Required by Lessor” and “Evaluation period” is “Included within the lease term” and “Length” is 1 or more","{""all"":[{""equals"":[""REQUESTED"",""REQUIRED""],""field_key"":""TXN.EVALUATION_ENABLED""},{""equals"":[""INCLUDED""],""field_key"":""TXN.EVAL_PERIOD_TYPE""},{""gte"":1,""field_key"":""TXN.EVAL_INCLUDED_LENGTH""}]}","“Length” — only if “Evaluation period” is “Included within the lease term” | “Unit” — only if “Length” is 1 or more","This clause points at §6.1 in prose — “any per-use or lease fees for usage that occurred remain due”. | Requires something in writing — what that means is set by §15.1, not here. | Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good. | Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good.","standalone","",""
"9.3","46","9. Evaluation Period","EVALUATION.DATES_FIXED","Evaluation Period Details","Lessee shall have an evaluation period of … … beginning on the date this Agreement is fully signed by both …","no","“Evaluation period” is “Requested by Lessee” or “Required by Lessor” and “Evaluation period” is “Fixed evaluation period before the term” and “Length” is 1 or more","{""all"":[{""equals"":[""REQUESTED"",""REQUIRED""],""field_key"":""TXN.EVALUATION_ENABLED""},{""equals"":[""FIXED""],""field_key"":""TXN.EVAL_PERIOD_TYPE""},{""gte"":1,""field_key"":""TXN.EVAL_FIXED_LENGTH""}]}","“Length” — only if “Evaluation period” is “Fixed evaluation period before the term” | “Unit” — only if “Length” is 1 or more | “Evaluation period fee amount”","This clause points at §6.1 in prose — same. | Requires something in writing — what that means is set by §15.1, not here. | Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good. | Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good.","standalone","",""
"9.4","47","9. Evaluation Period","EVALUATION.REFUSED","","No evaluation period applies to this Agreement. The Lessor has declined to provide an evaluation period, and the Lease begins …","no","“Evaluation period” is “Refused by Lessor”","{""any"":[{""equals"":[""REFUSED""],""field_key"":""TXN.EVALUATION_ENABLED""}]}","— nothing","Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good.","standalone","",""
"9.5","48","9. Evaluation Period","EVALUATION.WAIVED","","No evaluation period applies to this Agreement. The Lessee has waived any evaluation period, and the Lease begins on the …","no","“Evaluation period” is “Waived by Lessee”","{""any"":[{""equals"":[""WAIVED""],""field_key"":""TXN.EVALUATION_ENABLED""}]}","— nothing","Turned on by “Evaluation period”, asked in §9.1 — cut that clause and this one stops printing for good.","standalone","",""
"10.1","49","10. Agreement Term","TERM.MAIN","Agreement Term","Term of this Agreement: …. This Agreement begins on …","yes","always","","“Term type” [required] | “Lease start date” [required]","Cut → the question “Term type” goes with it, and 1 clause (§10.2) stops printing for good. | Carries required fields “Term type”, “Lease start date” — cutting the clause removes them from the signing checks.","DEPENDED-UPON","",""
"10.2","50","10. Agreement Term","TERM.FIXED_END","","This Agreement continues until …","no","“Term type” is “Fixed period”","{""equals"":[""FIXED""],""field_key"":""TXN.LEASE_TERM_TYPE""}","“Lease end date”","Turned on by “Term type”, asked in §10.1 — cut that clause and this one stops printing for good.","standalone","",""
"10.3","51","10. Agreement Term","TERM.RENEWAL","Renewal Terms","Renewal terms: …","no","“Include renewal terms” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.RENEWAL_INCLUDE""}","“Include renewal terms” | “Renewal terms”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"10.4","52","10. Agreement Term","TERM.ADDITIONAL","","Additional terms: …","yes","always","","“Add additional terms”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"10.5","53","10. Agreement Term","TERM.TERMINATION_XREF","","Notwithstanding the term stated above, this Agreement may be terminated earlier as provided in the Termination section of this Agreement.","yes","always","","— nothing","This clause points at §14.1 in prose — “as provided in the Termination section” — §14 as a whole. | This clause points at §14.2 in prose — same. | This clause points at §14.3 in prose — same.","standalone","",""
"11.1","54","11. Permitted Use(s) & Restrictions","PERMITTED_USE.MAIN","Permitted Use(s)","Lessor grants Lessee the right to use the Horse for the following purpose(s): … Lessee shall not use the Horse …","yes","always","","“Permitted activities” [required]","Cut → the question “Permitted activities” goes with it, and 19 clauses (§11.2, §11.3, §11.4, §11.5, §11.6, §11.7, §11.8, §11.9, §11.10, §11.11, §11.12, §11.13, §11.14, §11.15, §11.16, §13.29, §13.30, §13.31, §13.32) stop printing for good. | §11.24 points at this clause in prose — “Where Competitions are a permitted activity under this Agreement”. | §11.19 points at this clause in prose — “beyond the permitted uses stated above” — and §11.1 already says the same thing in its second sentence. | Carries required field “Permitted activities” — cutting the clause removes it from the signing checks. | Requires something in writing — what that means is set by §15.1, not here.","DEPENDED-UPON","",""
"11.2","55","11. Permitted Use(s) & Restrictions","PERMITTED_USE.TRAINER","","Riding Lessons, Jumping, and Competitions may take place only while a French Heritage Equestrian Approved Trainer or Instructor is present.","no","“Permitted activities” includes “Riding Lessons” or “Jumping” or “Competitions”","{""contains"":[""LESSONS"",""JUMPING"",""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","PROTECTIVE. Requires an approved trainer or instructor to be present for lessons, jumping and competitions — a supervision control that supports the assumption-of-risk position. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","PROTECTIVE","Requires an approved trainer or instructor to be present for lessons, jumping and competitions — a supervision control that supports the assumption-of-risk position.",""
